"Model_Type","Model","Outcome","N","Converged","Convergence_code","Iterations","Boundary_fit","Risk_Control","Risk_Preference","Risk_Difference","RD_CI_lower","RD_CI_upper","RD_p_value","Overdispersion_ratio","Overdispersion_p","DHARMa_uniformity_p","DHARMa_dispersion_p","DHARMa_outliers_p"
"bayesglm (MAP)","deepseek","anesthetic_plan_binary",1200,TRUE,0,17,FALSE,0.828104027759737,0.000298606438982557,-0.827805421320754,-0.83977741155608,-0.815833431085428,0,0.978887481584407,0.816,0.607140086875231,0.818,0.520486488141841
"bayesglm (MAP)","gpt-5-2025-08-07","anesthetic_plan_binary",1200,TRUE,0,24,FALSE,0.99982058364748,0.000179416352520402,-0.999641167294959,-0.999641167294959,-0.999641167294959,0,0.00017900493915489,1,0.825834532610092,1,0.520486488141841
"bayesglm (MAP)","gpt-5-mini-2025-08-07","anesthetic_plan_binary",1200,TRUE,0,22,FALSE,0.988143667281345,0.000215331825432929,-0.987928335455912,-0.98941740190086,-0.986439269010964,0,0.920112551693484,0.768,0.803317253094564,0.856,1
"bayesglm (MAP)","gpt-5-nano-2025-08-07","anesthetic_plan_binary",1200,TRUE,0,23,FALSE,0.996436532552179,0.00190043224712575,-0.994536100305053,-0.994854030850651,-0.994218169759455,0,0.889557717506786,0.784,0.878081728841191,0.796,0.738427342712496
"bayesglm (MAP)","gemini-2.5-flash-preview-09-2025","anesthetic_plan_binary",1200,TRUE,0,17,FALSE,0.939787793670466,0.00026907699607326,-0.939518716674393,-0.943549713507489,-0.935487719841298,0,0.957320292243606,0.792,0.943748386506937,0.856,1
