effect_type,comparison_label,outcome,model,RD,rd_p,rd_p_fdr,ci_entirely_meaningful
Variable,Obesity,Neuraxial anesthesia,DeepSeek 3.2,-37.99 (-43.44--32.55),1.4245547864098196e-42,5.157870778380381e-42,TRUE
Variable,Lumbar fusion,Neuraxial anesthesia,DeepSeek 3.2,-19.13 (-23.83--14.43),1.4727411433143442e-15,4.685994546909277e-15,TRUE
Variable,Stent,Neuraxial anesthesia,GPT-5,-99.93 (-100.12--99.74),0,0,TRUE
Variable,Thrombocytopenia,Neuraxial anesthesia,GPT-5,-67.23 (-71.03--63.44),8.79199337258367e-264,7.101225416317578e-263,TRUE
Variable,Aortic stenosis,Neuraxial anesthesia,GPT-5,-41.71 (-45.72--37.70),1.6260790683966836e-92,8.986226430613252e-92,TRUE
Variable,Lumbar fusion,Neuraxial anesthesia,GPT-5,-26.41 (-29.97--22.85),7.1136990195446e-48,2.766438507600678e-47,TRUE
Variable,Stent,Neuraxial anesthesia,GPT-5 mini,-99.36 (-99.83--98.89),0,0,TRUE
Variable,Thrombocytopenia,Neuraxial anesthesia,GPT-5 mini,-92.80 (-94.66--90.94),0,0,TRUE
Variable,Aortic stenosis,Neuraxial anesthesia,GPT-5 mini,-45.97 (-50.46--41.49),1.1873451084387606e-89,5.936725542193803e-89,TRUE
Variable,Lumbar fusion,Neuraxial anesthesia,GPT-5 mini,-37.33 (-41.72--32.93),2.855671454139038e-62,1.3036760986286912e-61,TRUE
Variable,Stent,Neuraxial anesthesia,GPT-5 nano,-99.63 (-100.08--99.17),0,0,TRUE
Variable,Thrombocytopenia,Neuraxial anesthesia,GPT-5 nano,-94.24 (-96.07--92.41),0,0,TRUE
Variable,Lumbar fusion,Neuraxial anesthesia,GPT-5 nano,-6.29 (-8.32--4.26),1.241673883216785e-9,3.4309409930990113e-9,FALSE
Variable,Stent,Neuraxial anesthesia,Gemini 2.5 Flash,-81.92 (-84.95--78.89),0,0,TRUE
Variable,Thrombocytopenia,Neuraxial anesthesia,Gemini 2.5 Flash,-68.77 (-72.64--64.91),2.1974296544766685e-266,1.922750947667085e-265,TRUE
Variable,Lumbar fusion,Neuraxial anesthesia,Gemini 2.5 Flash,-58.96 (-63.27--54.66),5.170153360188097e-159,3.3929131426234388e-158,TRUE
Variable,Aortic stenosis,Neuraxial anesthesia,Gemini 2.5 Flash,-58.06 (-62.39--53.73),2.6778826134378667e-152,1.653986320064565e-151,TRUE
Variable,Obesity,Neuraxial anesthesia,Gemini 2.5 Flash,-38.16 (-42.68--33.64),1.5015654005483845e-61,6.569348627399182e-61,TRUE
Variable,Delirium,Neuraxial anesthesia,Gemini 2.5 Flash,-30.53 (-34.90--26.17),7.767791415197707e-43,2.91292178069914e-42,TRUE
